InstigatedByNames,DamagedActorName,DamagedActorHost
THYLACINE-MAMMA,bridge_trim_14,DID
THYLACINE-MAMMA,PlayerPawn_C_2147479720,DID
THYLACINE-MAMMA,bal_r2_3,DID
THYLACINE-MAMMA,bal_r2_3,DID
DID,lvl_Trshcan_01_137,DID
THYLACINE-MAMMA,unreal_holo_6,DID
THYLACINE-MAMMA,unreal_holo_6,DID
DID,PlayerPawn_C_2147479484,DID
THYLACINE-MAMMA,PlayerPawn_C_2147479720,DID
THYLACINE-MAMMA,barier_12,DID
THYLACINE-MAMMA,PlayerPawn_C_2147479720,DID
THYLACINE-MAMMA,bal_r2_3,DID
DID,lvl_Trshcan_01_137,DID
THYLACINE-MAMMA,PlayerPawn_C_2147479791,DID
THYLACINE-MAMMA,stairs_5,DID
THYLACINE-MAMMA,PlayerPawn_C_2147479791,DID
THYLACINE-MAMMA,PlayerPawn_C_2147479791,DID
THYLACINE-MAMMA,wing_wall_4_glass_15,DID
THYLACINE-MAMMA,MainHall_WallGrass_01_123,DID
THYLACINE-MAMMA,wing_wall_4_glass_15,DID
THYLACINE-MAMMA,PlayerPawn_C_2147479791,DID
THYLACINE-MAMMA,unreal_holo_47,DID
DID,PlayerPawn_C_2147479421,DID
THYLACINE-MAMMA,unreal_holo_47,DID
THYLACINE-MAMMA,unreal_holo_47,DID
DID,bal_m_6,DID
DID,bal_r2_4,DID
THYLACINE-MAMMA,interior_wall_4,DID
DID,PlayerPawn_C_2147479529,DID
THYLACINE-MAMMA,interior_bottom_wall_2,DID
DID,bal_r2_4,DID
THYLACINE-MAMMA,interior_wall_4,DID
DID,glass_front_masked_4,DID
THYLACINE-MAMMA,interior_wall_4,DID
DID,PlayerPawn_C_2147479529,DID
THYLACINE-MAMMA,interior_wall_4,DID
DID,PlayerPawn_C_2147479529,DID
THYLACINE-MAMMA,PlayerPawn_C_2147479791,DID
DID,PlayerPawn_C_2147479529,DID
DID,lvl_Lights_01_73,DID
