Subject_id,Computer_name,Block_type,Date,Session_id,Match_start,Match_end,screenshot_kill,screenshot_death,Total_kill,Total_Death,Self_kill,Different,
JHGF,mammal_panda,block_01,3/6/2024,85a5023a-4976-0721-23b2-028c85a483dd,2024-03-06 13:26:26.617466-05:00,2024-03-06 13:36:42.000566-05:00,2,10,2,8,0,60%,
LRTB,mammal_thylacine,block_01,3/6/2024,85a5023a-4976-0721-23b2-028c85a483dd,2024-03-06 13:26:26.617466-05:00,2024-03-06 13:36:42.000566-05:00,8,10,4,4,0,,
QWRT,reptile_gila,block_01,3/6/2024,85a5023a-4976-0721-23b2-028c85a483dd,2024-03-06 13:26:26.617466-05:00,2024-03-06 13:36:42.000566-05:00,12,8,6,4,0,,
VBNM,reptile_komodo,block_01,3/6/2024,85a5023a-4976-0721-23b2-028c85a483dd,2024-03-06 13:26:26.617466-05:00,2024-03-06 13:36:42.000566-05:00,8,2,6,2,0,,
JHGF,mammal_panda,block_02,3/6/2024,32143347-4542-7282-6c5b-b7b56e6a33c5,2024-03-06 13:42:57.110688-05:00,2024-03-06 13:53:13.359943-05:00,0,15,0,3,0,28%,
LRTB,mammal_thylacine,block_02,3/6/2024,32143347-4542-7282-6c5b-b7b56e6a33c5,2024-03-06 13:42:57.110688-05:00,2024-03-06 13:53:13.359943-05:00,10,8,3,3,0,,
QWRT,reptile_gila,block_02,3/6/2024,32143347-4542-7282-6c5b-b7b56e6a33c5,2024-03-06 13:42:57.110688-05:00,2024-03-06 13:53:13.359943-05:00,8,6,2,2,0,,
VBNM,reptile_komodo,block_02,3/6/2024,32143347-4542-7282-6c5b-b7b56e6a33c5,2024-03-06 13:42:57.110688-05:00,2024-03-06 13:53:13.359943-05:00,14,4,4,1,0,,
JHGF,mammal_panda,block_03,3/6/2024,dd256e2a-4e9a-fe7f-54b8-66bfb1d5fa7e,2024-03-06 13:57:21.312206-05:00,2024-03-06 14:07:37.711329-05:00,1,19,0,8,0,45%,
LRTB,mammal_thylacine,block_03,3/6/2024,dd256e2a-4e9a-fe7f-54b8-66bfb1d5fa7e,2024-03-06 13:57:21.312206-05:00,2024-03-06 14:07:37.711329-05:00,7,18,3,9,0,,
QWRT,reptile_gila,block_03,3/6/2024,dd256e2a-4e9a-fe7f-54b8-66bfb1d5fa7e,2024-03-06 13:57:21.312206-05:00,2024-03-06 14:07:37.711329-05:00,9,7,4,3,0,,
VBNM,reptile_komodo,block_03,3/6/2024,dd256e2a-4e9a-fe7f-54b8-66bfb1d5fa7e,2024-03-06 13:57:21.312206-05:00,2024-03-06 14:07:37.711329-05:00,26,1,13,0,0,,
JHGF,mammal_panda,block_04,3/6/2024,0f012d24-4034-4c67-7810-53878af71db6,2024-03-06 14:13:40.557008-05:00,2024-03-06 14:23:56.074452-05:00,3,14,2,4,0,31%,
LRTB,mammal_thylacine,block_04,3/6/2024,0f012d24-4034-4c67-7810-53878af71db6,2024-03-06 14:13:40.557008-05:00,2024-03-06 14:23:56.074452-05:00,11,14,4,3,0,,
QWRT,reptile_gila,block_04,3/6/2024,0f012d24-4034-4c67-7810-53878af71db6,2024-03-06 14:13:40.557008-05:00,2024-03-06 14:23:56.074452-05:00,13,9,5,4,0,,
VBNM,reptile_komodo,block_04,3/6/2024,0f012d24-4034-4c67-7810-53878af71db6,2024-03-06 14:13:40.557008-05:00,2024-03-06 14:23:56.074452-05:00,14,5,2,2,0,,
LPZV,mammal_thylacine,block_01,3/13/2024,6a0b7489-4997-a37e-d69c-38ab276c14cd,2024-03-13 16:29:52.668457-04:00,2024-03-13 16:40:09.133874-04:00,5,14,3,10,0,64%,
MJUY,mammal_panda,block_01,3/13/2024,6a0b7489-4997-a37e-d69c-38ab276c14cd,2024-03-13 16:29:52.668457-04:00,2024-03-13 16:40:09.133874-04:00,5,19,2,12,0,,
UYGH,reptile_komodo,block_01,3/13/2024,6a0b7489-4997-a37e-d69c-38ab276c14cd,2024-03-13 16:29:52.668457-04:00,2024-03-13 16:40:09.133874-04:00,13,6,10,3,0,,
ZRTY,reptile_gila,block_01,3/13/2024,6a0b7489-4997-a37e-d69c-38ab276c14cd,2024-03-13 16:29:52.668457-04:00,2024-03-13 16:40:09.133874-04:00,19,4,12,2,0,,
LPZV,mammal_thylacine,block_02,3/13/2024,95b311f5-4446-507a-907e-07b9160fc694,2024-03-13 16:44:37.260606-04:00,2024-03-13 16:54:52.478340-04:00,7,14,5,11,0,68%,
MJUY,mammal_panda,block_02,3/13/2024,95b311f5-4446-507a-907e-07b9160fc694,2024-03-13 16:44:37.260606-04:00,2024-03-13 16:54:52.478340-04:00,12,10,7,6,0,,
UYGH,reptile_komodo,block_02,3/13/2024,95b311f5-4446-507a-907e-07b9160fc694,2024-03-13 16:44:37.260606-04:00,2024-03-13 16:54:52.478340-04:00,11,12,7,8,0,,
ZRTY,reptile_gila,block_02,3/13/2024,95b311f5-4446-507a-907e-07b9160fc694,2024-03-13 16:44:37.260606-04:00,2024-03-13 16:54:52.478340-04:00,12,7,10,4,0,,
LPZV,mammal_thylacine,block_03,3/13/2024,15f350b5-46bc-916a-4e48-529cd8813848,2024-03-13 16:58:46.618860-04:00,2024-03-13 17:09:03.914820-04:00,12,16,6,9,0,52%,
MJUY,mammal_panda,block_03,3/13/2024,15f350b5-46bc-916a-4e48-529cd8813848,2024-03-13 16:58:46.618860-04:00,2024-03-13 17:09:03.914820-04:00,9,12,3,7,0,,
UYGH,reptile_komodo,block_03,3/13/2024,15f350b5-46bc-916a-4e48-529cd8813848,2024-03-13 16:58:46.618860-04:00,2024-03-13 17:09:03.914820-04:00,6,14,4,7,0,,
ZRTY,reptile_gila,block_03,3/13/2024,15f350b5-46bc-916a-4e48-529cd8813848,2024-03-13 16:58:46.618860-04:00,2024-03-13 17:09:03.914820-04:00,21,7,12,2,0,,
LPZV,mammal_thylacine,block_04,3/13/2024,01c80c4d-46c8-45f5-d583-0281844f2f5d,2024-03-13 17:12:52.499283-04:00,2024-03-13 17:23:11.285143-04:00,18,14,12,7,0,61%,
MJUY,mammal_panda,block_04,3/13/2024,01c80c4d-46c8-45f5-d583-0281844f2f5d,2024-03-13 17:12:52.499283-04:00,2024-03-13 17:23:11.285143-04:00,7,15,5,9,0,,
UYGH,reptile_komodo,block_04,3/13/2024,01c80c4d-46c8-45f5-d583-0281844f2f5d,2024-03-13 17:12:52.499283-04:00,2024-03-13 17:23:11.285143-04:00,8,15,4,11,0,,
ZRTY,reptile_gila,block_04,3/13/2024,01c80c4d-46c8-45f5-d583-0281844f2f5d,2024-03-13 17:12:52.499283-04:00,2024-03-13 17:23:11.285143-04:00,21,10,12,6,0,,
JKLZ,reptile_komodo,block_01,3/14/2024,,,,21,4,,,,0%,
NMBV,reptile_gila,block_01,3/14/2024,,,,11,5,,,,,
VFTY,mammal_thylacine,block_01,3/14/2024,,,,7,16,,,,,
WZXE,mammal_panda,block_01,3/14/2024,,,,5,19,,,,,
JKLZ,reptile_komodo,block_02,3/14/2024,,,,26,5,,,,,
NMBV,reptile_gila,block_02,3/14/2024,,,,11,8,,,,,
VFTY,mammal_thylacine,block_02,3/14/2024,,,,6,21,,,,,
WZXE,mammal_panda,block_02,3/14/2024,,,,12,10,,,,,
JKLZ,reptile_komodo,block_03,3/14/2024,,,,34,0,,,,,
NMBV,reptile_gila,block_03,3/14/2024,,,,18,4,,,,,
VFTY,mammal_thylacine,block_03,3/14/2024,,,,1,29,,,,,
WZXE,mammal_panda,block_03,3/14/2024,,,,9,12,,,,,
JKLZ,reptile_komodo,block_04,3/14/2024,,,,21,3,,,,,
NMBV,reptile_gila,block_04,3/14/2024,,,,14,7,,,,,
VFTY,mammal_thylacine,block_04,3/14/2024,,,,8,18,,,,,
WZXE,mammal_panda,block_04,3/14/2024,,,,7,15,,,,,
GHJK,reptile_gila,block_01,3/26/2024,,,,,,,,,,
LPDW,mammal_panda,block_01,3/26/2024,,,,,,,,,,
MNBW,reptile_komodo,block_01,3/26/2024,,,,,,,,,,
OPKJ,mammal_thylacine,block_01,3/26/2024,,,,,,,,,,
GHJK,reptile_gila,block_02,3/26/2024,,,,12,12,,,,,
LPDW,mammal_panda,block_02,3/26/2024,,,,5,15,,,,,
MNBW,reptile_komodo,block_02,3/26/2024,,,,14,10,,,,,
OPKJ,mammal_thylacine,block_02,3/26/2024,,,,17,11,,,,,
GHJK,reptile_gila,block_03,3/26/2024,,,,14,9,,,,,
LPDW,mammal_panda,block_03,3/26/2024,,,,8,13,,,,,
MNBW,reptile_komodo,block_03,3/26/2024,,,,11,11,,,,,
OPKJ,mammal_thylacine,block_03,3/26/2024,,,,12,12,,,,,
GHJK,reptile_gila,block_04,3/26/2024,,,,15,7,,,,,
LPDW,mammal_panda,block_04,3/26/2024,,,,4,15,,,,,
MNBW,reptile_komodo,block_04,3/26/2024,,,,17,5,,,,,
OPKJ,mammal_thylacine,block_04,3/26/2024,,,,8,17,,,,,
KJHG,reptile_komodo,block_01,4/3/2024,6c8bd420-4c9d-706d-8454-94b39efeea8c,2024-04-03 15:47:26.188356-04:00,2024-04-03 15:57:43.712641-04:00,6,4,5,4,0,93%,
